,JOUEUR,SELECTIONS,POINTS
?refer=joueur&GET_CAT=1&PARAM=758,Tariq ABDUL-WAHAD,45,589
?refer=joueur&GET_CAT=1&PARAM=668,Georges ADAMS,75,393
?refer=joueur&GET_CAT=1&PARAM=759,Arsène ADE-MENSAH,4,6
?refer=joueur&GET_CAT=1&PARAM=750,Alexis AJINCA,39,275
?refer=joueur&GET_CAT=1&PARAM=730,Cyril AKPOMEDAH,1,3
?refer=joueur&GET_CAT=1&PARAM=762,Andrew ALBICY,89,233
?refer=joueur&GET_CAT=1&PARAM=677,Olivier ALLINEI,29,58
?refer=joueur&GET_CAT=1&PARAM=381,André AMBROISE,4,14
?refer=joueur&GET_CAT=1&PARAM=468,Roger ANTOINE,66,557
?refer=joueur&GET_CAT=1&PARAM=451,Jean-Marie AUDEBERT,1,0
?refer=joueur&GET_CAT=1&PARAM=537,Michel AUDUREAU,23,54
?refer=joueur&GET_CAT=1&PARAM=736,Pape BADIANE,23,62
?refer=joueur&GET_CAT=1&PARAM=520,Philippe BAILLET,59,328
?refer=joueur&GET_CAT=1&PARAM=493,Christian BALTZER,148,873
?refer=joueur&GET_CAT=1&PARAM=395,André BARRAIS,6,2
?refer=joueur&GET_CAT=1&PARAM=572,Henri BARRE,6,8
?refer=joueur&GET_CAT=1&PARAM=669,Olivier BASSET,2,2
?refer=joueur&GET_CAT=1&PARAM=751,Nicolas BATUM,155,1645
?refer=joueur&GET_CAT=1&PARAM=327,Georges BEAUFUME,3,0
?refer=joueur&GET_CAT=1&PARAM=335,Marcel BEAULIEU,3,0
?refer=joueur&GET_CAT=1&PARAM=898,Juhann BEGARIN,3,21
?refer=joueur&GET_CAT=1&PARAM=613,Marc BELLOT,4,0
?refer=joueur&GET_CAT=1&PARAM=504,Jean BELMAS,1,3
?refer=joueur&GET_CAT=1&PARAM=874,Hugo BENITEZ,3,6
?refer=joueur&GET_CAT=1&PARAM=472,Jacques BERIO,6,11
?refer=joueur&GET_CAT=1&PARAM=711,Laurent BERNARD,9,27
?refer=joueur&GET_CAT=1&PARAM=481,Gérard BERTHEUX,5,15
?refer=joueur&GET_CAT=1&PARAM=474,Louis BERTORELLE,64,309
?refer=joueur&GET_CAT=1&PARAM=386,Paul BETTEMPS,1,1
?refer=joueur&GET_CAT=1&PARAM=614,Eric BEUGNOT,212,2491
?refer=joueur&GET_CAT=1&PARAM=638,Gregor BEUGNOT,54,297
?refer=joueur&GET_CAT=1&PARAM=458,Jean-Paul BEUGNOT,98,1081
?refer=joueur&GET_CAT=1&PARAM=413,Marcel BEZIERS,3,7
?refer=joueur&GET_CAT=1&PARAM=548,Fernand BIASSUCI,18,56
?refer=joueur&GET_CAT=1&PARAM=670,Jim BILBA,170,1198
?refer=joueur&GET_CAT=1&PARAM=618,Mathieu BISSENI,91,322
?refer=joueur&GET_CAT=1&PARAM=459,Robert BLANCHARD,19,41
?refer=joueur&GET_CAT=1&PARAM=357,Pierre BOEL,23,68
?refer=joueur&GET_CAT=1&PARAM=615,Victor BOISTOL,82,362
?refer=joueur&GET_CAT=1&PARAM=726,Yannick BOKOLO,91,262
?refer=joueur&GET_CAT=1&PARAM=541,Jean-Claude BONATO,174,2147
?refer=joueur&GET_CAT=1&PARAM=682,Yann BONATO,92,1164
?refer=joueur&GET_CAT=1&PARAM=423,Michel BONNEVIE,10,13
